     * <br/>
     * source: shared objects file。
     * 这意味着什么：这说明这些类是从 CDS (Class Data Sharing) 归档文件中加载的，而不是直接从普通的 .jar 或 .class 文件中读取。
     * 好处：CDS 是 JVM 的一项优化技术。它将这些常用的核心类预先处理并保存在一个内存映射文件中。
     * 这样 JVM 启动时可以直接“映射”这些类，而不需要重新解析，大大加快了 Java 的启动速度并减少了内存占用。



    [0.007s][info][class,load] java.lang.Object source: shared objects file
    [0.007s][info][class,load] java.lang.ref.SoftReference source: shared objects file
    [0.007s][info][class,load] java.lang.ref.WeakReference source: shared objects file
    [0.007s][info][class,load] java.lang.ref.FinalReference source: shared objects file
    [0.007s][info][class,load] java.lang.ref.PhantomReference source: shared objects file
    [0.007s][info][class,load] java.lang.ref.Finalizer source: shared objects file
    [0.007s][info][class,load] java.lang.Runnable source: shared objects file
    [0.007s][info][class,load] java.lang.Thread source: shared objects file
    [0.007s][info][class,load] java.lang.Thread$FieldHolder source: shared objects file
    [0.007s][info][class,load] java.lang.Thread$Constants source: shared objects file
    [0.007s][info][class,load] java.lang.Thread$UncaughtExceptionHandler source: shared objects file
    [0.007s][info][class,load] java.lang.ThreadGroup source: shared objects file
    [0.007s][info][class,load] java.lang.BaseVirtualThread source: shared objects file
    [0.007s][info][class,load] java.lang.VirtualThread source: shared objects file
    [0.007s][info][class,load] java.lang.ThreadBuilders$BoundVirtualThread source: shared objects file
    [0.007s][info][class,load] java.util.Dictionary source: shared objects file
    [0.007s][info][class,load] java.util.Map source: shared objects file
    [0.007s][info][class,load] java.util.Hashtable source: shared objects file
    [0.007s][info][class,load] java.util.Properties source: shared objects file
    [0.007s][info][class,load] java.lang.Module source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.AccessibleObject source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.Member source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.Field source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.Parameter source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.Executable source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.Method source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.Constructor source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.ContinuationScope source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.Continuation source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.StackChunk source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.MethodAccessor source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.MethodAccessorImpl source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.ConstantPool source: shared objects file
    [0.007s][info][class,load] java.lang.annotation.Annotation source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.CallerSensitive source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.ConstructorAccessor source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.ConstructorAccessorImpl source: shared objects file
    [0.007s][info][class,load] jdk.internal.reflect.DirectConstructorHandleAccessor$NativeAccessor source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.MethodHandle source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.DirectMethodHandle source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.VarHandle source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.MemberName source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.ResolvedMethodName source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.MethodHandleNatives source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.LambdaForm source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.TypeDescriptor$OfMethod source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.MethodType source: shared objects file
    [0.007s][info][class,load] java.lang.BootstrapMethodError source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.CallSite source: shared objects file
    [0.007s][info][class,load] jdk.internal.foreign.abi.NativeEntryPoint source: shared objects file
    [0.007s][info][class,load] jdk.internal.foreign.abi.ABIDescriptor source: shared objects file
    [0.007s][info][class,load] jdk.internal.foreign.abi.VMStorage source: shared objects file
    [0.007s][info][class,load] jdk.internal.foreign.abi.UpcallLinker$CallRegs source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.ConstantCallSite source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.MutableCallSite source: shared objects file
    [0.007s][info][class,load] java.lang.invoke.VolatileCallSite source: shared objects file
    [0.007s][info][class,load] java.lang.AssertionStatusDirectives source: shared objects file
    [0.007s][info][class,load] java.lang.Appendable source: shared objects file
    [0.007s][info][class,load] java.lang.AbstractStringBuilder source: shared objects file
    [0.007s][info][class,load] java.lang.StringBuffer source: shared objects file
    [0.007s][info][class,load] java.lang.StringBuilder source: shared objects file
    [0.007s][info][class,load] jdk.internal.misc.UnsafeConstants source: shared objects file
    [0.007s][info][class,load] jdk.internal.misc.Unsafe source: shared objects file
    [0.007s][info][class,load] jdk.internal.module.Modules source: shared objects file
    [0.007s][info][class,load] java.lang.AutoCloseable source: shared objects file
    [0.007s][info][class,load] java.io.Closeable source: shared objects file
    [0.007s][info][class,load] java.io.InputStream source: shared objects file
    [0.007s][info][class,load] java.io.ByteArrayInputStream source: shared objects file
    [0.007s][info][class,load] java.net.URL source: shared objects file
    [0.007s][info][class,load] java.net.URLClassLoader source: shared objects file
    [0.007s][info][class,load] java.lang.Enum source: shared objects file
    [0.007s][info][class,load] java.util.jar.Manifest source: shared objects file
    [0.007s][info][class,load] jdk.internal.loader.BuiltinClassLoader source: shared objects file
    [0.007s][info][class,load] jdk.internal.loader.ClassLoaders source: shared objects file
    [0.007s][info][class,load] jdk.internal.loader.ClassLoaders$AppClassLoader source: shared objects file
    [0.007s][info][class,load] jdk.internal.loader.ClassLoaders$PlatformClassLoader source: shared objects file
    [0.007s][info][class,load] java.security.CodeSource source: shared objects file
    [0.007s][info][class,load] java.util.AbstractMap source: shared objects file
    [0.007s][info][class,load] java.util.concurrent.ConcurrentMap source: shared objects file
    [0.007s][info][class,load] java.util.concurrent.ConcurrentHashMap source: shared objects file
    [0.007s][info][class,load] java.lang.Iterable source: shared objects file
    [0.007s][info][class,load] java.util.Collection source: shared objects file
    [0.007s][info][class,load] java.util.AbstractCollection source: shared objects file
    [0.007s][info][class,load] java.util.SequencedCollection source: shared objects file
    [0.007s][info][class,load] java.util.List source: shared objects file
    [0.007s][info][class,load] java.util.AbstractList source: shared objects file
    [0.007s][info][class,load] java.util.RandomAccess source: shared objects file
    [0.007s][info][class,load] java.util.ArrayList source: shared objects file
    [0.007s][info][class,load] java.lang.StackTraceElement source: shared objects file
    [0.007s][info][class,load] java.nio.Buffer source: shared objects file
    [0.007s][info][class,load] java.lang.StackWalker source: shared objects file
    [0.007s][info][class,load] java.lang.StackStreamFactory$AbstractStackWalker source: shared objects file
    [0.007s][info][class,load] java.lang.StackWalker$StackFrame source: shared objects file
    [0.007s][info][class,load] java.lang.ClassFrameInfo source: shared objects file
    [0.007s][info][class,load] java.lang.StackFrameInfo source: shared objects file
    [0.007s][info][class,load] java.lang.LiveStackFrame source: shared objects file
    [0.007s][info][class,load] java.lang.LiveStackFrameInfo source: shared objects file
    [0.007s][info][class,load] java.util.concurrent.locks.AbstractOwnableSynchronizer source: shared objects file
    [0.007s][info][class,load] java.lang.Boolean source: shared objects file
    [0.007s][info][class,load] java.lang.Character source: shared objects file
    [0.007s][info][class,load] java.lang.Number source: shared objects file
    [0.007s][info][class,load] java.lang.Float source: shared objects file
    [0.007s][info][class,load] java.lang.Double source: shared objects file
    [0.007s][info][class,load] java.lang.Byte source: shared objects file
    [0.007s][info][class,load] java.lang.Short source: shared objects file
    [0.007s][info][class,load] java.lang.Integer source: shared objects file
    [0.007s][info][class,load] java.lang.Long source: shared objects file
    [0.007s][info][class,load] java.lang.Void source: shared objects file
    [0.007s][info][class,load] java.util.Iterator source: shared objects file
    [0.007s][info][class,load] java.lang.reflect.RecordComponent source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.vector.VectorSupport source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.vector.VectorSupport$VectorPayload source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.vector.VectorSupport$Vector source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.vector.VectorSupport$VectorMask source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.vector.VectorSupport$VectorShuffle source: shared objects file
    [0.007s][info][class,load] jdk.internal.vm.FillerObject source: shared objects file
    [0.008s][info][class,load] java.lang.Integer$IntegerCache source: shared objects file
    [0.008s][info][class,load] java.lang.Long$LongCache source: shared objects file
    [0.008s][info][class,load] java.lang.Byte$ByteCache source: shared objects file
    [0.008s][info][class,load] java.lang.Short$ShortCache source: shared objects file
    [0.008s][info][class,load] java.lang.Character$CharacterCache source: shared objects file
    [0.008s][info][class,load] java.util.jar.Attributes$Name source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$AbstractImmutableMap source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$MapN source: shared objects file
    [0.008s][info][class,load] sun.util.locale.BaseLocale source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ArchivedModuleGraph source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleFinder source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.SystemModuleFinders$SystemModuleFinder source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$AbstractImmutableCollection source: shared objects file
    [0.008s][info][class,load] java.util.Set source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$AbstractImmutableSet source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$SetN source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleReference source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ModuleReferenceImpl source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor$Version source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$Set12 source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor$Requires source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor$Requires$Modifier source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor$Exports source: shared objects file
    [0.008s][info][class,load] java.net.URI source: shared objects file
    [0.008s][info][class,load] java.util.function.Supplier source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.SystemModuleFinders$1 source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ModuleHashes$HashSupplier source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.SystemModuleFinders$2 source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor$Provides source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$AbstractImmutableList source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$List12 source: shared objects file
    [0.008s][info][class,load] java.lang.module.ModuleDescriptor$Opens source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections$ListN source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ModuleTarget source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ModuleHashes source: shared objects file
    [0.008s][info][class,load] java.util.Collections$UnmodifiableMap source: shared objects file
    [0.008s][info][class,load] java.util.HashMap source: shared objects file
    [0.008s][info][class,load] java.util.Map$Entry source: shared objects file
    [0.008s][info][class,load] java.util.HashMap$Node source: shared objects file
    [0.008s][info][class,load] java.lang.module.Configuration source: shared objects file
    [0.008s][info][class,load] java.lang.module.ResolvedModule source: shared objects file
    [0.008s][info][class,load] java.util.function.Function source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ModuleLoaderMap$Mapper source: shared objects file
    [0.008s][info][class,load] java.util.ImmutableCollections source: shared objects file
    [0.008s][info][class,load] java.lang.ModuleLayer source: shared objects file
    [0.008s][info][class,load] jdk.internal.math.FDBigInteger source: shared objects file
    [0.008s][info][class,load] jdk.internal.loader.ArchivedClassLoaders source: shared objects file
    [0.008s][info][class,load] jdk.internal.loader.ClassLoaders$BootClassLoader source: shared objects file
    [0.008s][info][class,load] java.security.Principal source: shared objects file
    [0.008s][info][class,load] jdk.internal.loader.NativeLibraries source: shared objects file
    [0.008s][info][class,load] java.util.concurrent.ConcurrentHashMap$Node source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ServicesCatalog source: shared objects file
    [0.008s][info][class,load] java.util.concurrent.CopyOnWriteArrayList source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ServicesCatalog$ServiceProvider source: shared objects file
    [0.008s][info][class,load] java.util.AbstractSet source: shared objects file
    [0.008s][info][class,load] java.util.HashSet source: shared objects file
    [0.008s][info][class,load] jdk.internal.loader.BuiltinClassLoader$LoadedModule source: shared objects file
    [0.008s][info][class,load] jdk.internal.module.ArchivedBootLayer source: shared objects file
    [0.008s][info][class,load] java.lang.Module$ArchivedData source: shared objects file
    [0.008s][info][class,load] java.io.ObjectStreamField source: shared objects file
    [0.008s][info][class,load] java.util.Comparator source: shared objects file
    [0.008s][info][class,load] java.lang.String$CaseInsensitiveComparator source: shared objects file
    [0.008s][info][class,load] jdk.internal.misc.VM source: shared objects file
    [0.009s][info][class,load] jdk.internal.misc.CDS source: shared objects file
    [0.009s][info][class,load] jdk.internal.access.JavaLangReflectAccess source: shared objects file
    [0.009s][info][class,load] java.lang.reflect.ReflectAccess source: shared objects file
    [0.009s][info][class,load] jdk.internal.access.SharedSecrets source: shared objects file
    [0.009s][info][class,load] jdk.internal.reflect.ReflectionFactory source: shared objects file
    [0.009s][info][class,load] java.io.ObjectStreamClass source: shared objects file
    [0.009s][info][class,load] java.lang.Math source: shared objects file
    [0.009s][info][class,load] jdk.internal.reflect.ReflectionFactory$Config source: shared objects file
    [0.009s][info][class,load] jdk.internal.access.JavaLangRefAccess source: shared objects file
    [0.009s][info][class,load] java.lang.ref.Reference$1 source: shared objects file
    [0.009s][info][class,load] java.lang.ref.ReferenceQueue source: shared objects file
    [0.009s][info][class,load] java.lang.ref.ReferenceQueue$Null source: shared objects file
    [0.009s][info][class,load] java.lang.ref.ReferenceQueue$Lock source: shared objects file
    [0.009s][info][class,load] jdk.internal.access.JavaLangAccess source: shared objects file
    [0.009s][info][class,load] java.lang.System$1 source: shared objects file
    [0.009s][info][class,load] jdk.internal.util.SystemProps source: shared objects file
    [0.009s][info][class,load] jdk.internal.util.SystemProps$Raw source: shared objects file
    [0.012s][info][class,load] java.nio.charset.Charset source: shared objects file
    [0.012s][info][class,load] java.nio.charset.spi.CharsetProvider source: shared objects file
    [0.012s][info][class,load] sun.nio.cs.StandardCharsets source: shared objects file
    [0.012s][info][class,load] java.lang.StringLatin1 source: shared objects file
    [0.012s][info][class,load] sun.nio.cs.HistoricallyNamedCharset source: shared objects file
    [0.012s][info][class,load] sun.nio.cs.Unicode source: shared objects file
    [0.012s][info][class,load] sun.nio.cs.UTF_8 source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.ArraysSupport source: shared objects file
    [0.012s][info][class,load] java.util.LinkedHashMap$Entry source: shared objects file
    [0.012s][info][class,load] java.util.HashMap$TreeNode source: shared objects file
    [0.012s][info][class,load] java.lang.StringConcatHelper source: shared objects file
    [0.012s][info][class,load] java.lang.VersionProps source: shared objects file
    [0.012s][info][class,load] java.lang.Runtime source: shared objects file
    [0.012s][info][class,load] java.util.concurrent.locks.Lock source: shared objects file
    [0.012s][info][class,load] java.util.concurrent.locks.ReentrantLock source: shared objects file
    [0.012s][info][class,load] java.util.concurrent.ConcurrentHashMap$Segment source: shared objects file
    [0.012s][info][class,load] java.util.concurrent.ConcurrentHashMap$CounterCell source: shared objects file
    [0.012s][info][class,load] java.util.concurrent.locks.LockSupport source: shared objects file
    [0.012s][info][class,load] java.util.concurrent.ConcurrentHashMap$ReservationNode source: shared objects file
    [0.012s][info][class,load] java.util.HashMap$EntrySet source: shared objects file
    [0.012s][info][class,load] java.util.HashMap$HashIterator source: shared objects file
    [0.012s][info][class,load] java.util.HashMap$EntryIterator source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.StaticProperty source: shared objects file
    [0.012s][info][class,load] java.io.FileInputStream source: shared objects file
    [0.012s][info][class,load] java.lang.System$In source: shared objects file
    [0.012s][info][class,load] java.io.FileDescriptor source: shared objects file
    [0.012s][info][class,load] jdk.internal.access.JavaIOFileDescriptorAccess source: shared objects file
    [0.012s][info][class,load] java.io.FileDescriptor$1 source: shared objects file
    [0.012s][info][class,load] java.io.Flushable source: shared objects file
    [0.012s][info][class,load] java.io.OutputStream source: shared objects file
    [0.012s][info][class,load] java.io.FileOutputStream source: shared objects file
    [0.012s][info][class,load] java.lang.System$Out source: shared objects file
    [0.012s][info][class,load] java.io.FilterInputStream source: shared objects file
    [0.012s][info][class,load] java.io.BufferedInputStream source: shared objects file
    [0.012s][info][class,load] java.io.FilterOutputStream source: shared objects file
    [0.012s][info][class,load] java.io.PrintStream source: shared objects file
    [0.012s][info][class,load] java.io.BufferedOutputStream source: shared objects file
    [0.012s][info][class,load] java.io.Writer source: shared objects file
    [0.012s][info][class,load] java.io.OutputStreamWriter source: shared objects file
    [0.012s][info][class,load] sun.nio.cs.StreamEncoder source: shared objects file
    [0.012s][info][class,load] java.nio.charset.CharsetEncoder source: shared objects file
    [0.012s][info][class,load] sun.nio.cs.UTF_8$Encoder source: shared objects file
    [0.012s][info][class,load] java.nio.charset.CodingErrorAction source: shared objects file
    [0.012s][info][class,load] java.util.Arrays source: shared objects file
    [0.012s][info][class,load] java.nio.ByteBuffer source: shared objects file
    [0.012s][info][class,load] jdk.internal.misc.ScopedMemoryAccess source: shared objects file
    [0.012s][info][class,load] java.nio.Buffer$1 source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.Preconditions source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.Preconditions$1 source: shared objects file
    [0.012s][info][class,load] java.util.function.BiFunction source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.Preconditions$4 source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.Preconditions$2 source: shared objects file
    [0.012s][info][class,load] jdk.internal.util.Preconditions$3 source: shared objects file
    [0.012s][info][class,load] jdk.internal.access.JavaNioAccess source: shared objects file
    [0.012s][info][class,load] java.nio.Buffer$2 source: shared objects file
    [0.012s][info][class,load] java.nio.HeapByteBuffer source: shared objects file
    [0.012s][info][class,load] java.nio.ByteOrder source: shared objects file
    [0.012s][info][class,load] java.io.BufferedWriter source: shared objects file
    [0.012s][info][class,load] java.lang.Terminator source: shared objects file
    [0.012s][info][class,load] jdk.internal.misc.Signal$Handler source: shared objects file
    [0.012s][info][class,load] java.lang.Terminator$1 source: shared objects file
    [0.012s][info][class,load] jdk.internal.misc.Signal source: shared objects file
    [0.012s][info][class,load] java.util.Hashtable$Entry source: shared objects file
    [0.012s][info][class,load] java.util.Objects source: shared objects file
    [0.012s][info][class,load] jdk.internal.misc.Signal$NativeHandler source: shared objects file
    [0.013s][info][class,load] jdk.internal.misc.OSEnvironment source: shared objects file
    [0.013s][info][class,load] java.lang.Thread$State source: shared objects file
    [0.013s][info][class,load] java.lang.ref.Reference$ReferenceHandler source: shared objects file
    [0.013s][info][class,load] java.lang.Thread$ThreadIdentifiers source: shared objects file
    [0.013s][info][class,load] java.lang.ref.Finalizer$FinalizerThread source: shared objects file
    [0.013s][info][class,load] jdk.internal.ref.Cleaner source: shared objects file
    [0.013s][info][class,load] java.util.Collections source: shared objects file
    [0.013s][info][class,load] java.util.Collections$EmptySet source: shared objects file
    [0.013s][info][class,load] java.util.Collections$EmptyList source: shared objects file
    [0.013s][info][class,load] java.util.Collections$EmptyMap source: shared objects file
    [0.013s][info][class,load] java.lang.NullPointerException source: shared objects file
    [0.013s][info][class,load] java.lang.ArithmeticException source: shared objects file
    [0.013s][info][class,load] java.lang.IndexOutOfBoundsException source: shared objects file
    [0.013s][info][class,load] java.lang.ArrayIndexOutOfBoundsException source: shared objects file
    [0.013s][info][class,load] java.lang.IllegalArgumentException source: shared objects file
    [0.013s][info][class,load] java.lang.invoke.MethodHandleStatics source: shared objects file
    [0.013s][info][class,load] java.lang.reflect.ClassFileFormatVersion source: shared objects file
    [0.013s][info][class,load] java.lang.CharacterData source: shared objects file
    [0.013s][info][class,load] java.lang.CharacterDataLatin1 source: shared objects file
    [0.013s][info][class,load] jdk.internal.util.ClassFileDumper source: shared objects file
    [0.013s][info][class,load] java.util.HexFormat source: shared objects file
    [0.013s][info][class,load] java.util.concurrent.atomic.AtomicInteger source: shared objects file
    [0.013s][info][class,load] jdk.internal.module.ModuleBootstrap source: shared objects file
    [0.013s][info][class,load] java.lang.invoke.MethodHandles source: shared objects file
    [0.013s][info][class,load] java.lang.invoke.MemberName$Factory source: shared objects file
    [0.013s][info][class,load] jdk.internal.reflect.Reflection source: shared objects file
    [0.013s][info][class,load] java.lang.invoke.MethodHandles$Lookup source: shared objects file
    [0.013s][info][class,load] java.lang.StrictMath source: shared objects file
    [0.013s][info][class,load] java.util.ImmutableCollections$MapN$1 source: shared objects file
    [0.013s][info][class,load] java.util.ImmutableCollections$MapN$MapNIterator source: shared objects file
    [0.013s][info][class,load] java.util.KeyValueHolder source: shared objects file
    [0.013s][info][class,load] sun.invoke.util.VerifyAccess source: shared objects file
    [0.013s][info][class,load] java.lang.reflect.Modifier source: shared objects file
    [0.013s][info][class,load] jdk.internal.access.JavaLangModuleAccess source: shared objects file
    [0.013s][info][class,load] java.lang.module.ModuleDescriptor$1 source: shared objects file
    [0.013s][info][class,load] java.io.File source: shared objects file
    [0.013s][info][class,load] java.io.DefaultFileSystem source: shared objects file
    [0.013s][info][class,load] java.io.FileSystem source: shared objects file
    [0.013s][info][class,load] java.io.UnixFileSystem source: shared objects file
    [0.013s][info][class,load] jdk.internal.util.DecimalDigits source: shared objects file
    [0.013s][info][class,load] jdk.internal.module.ModulePatcher source: shared objects file
    [0.013s][info][class,load] jdk.internal.module.ModuleBootstrap$IllegalNativeAccess source: shared objects file
    [0.013s][info][class,load] jdk.internal.module.ModuleLoaderMap source: shared objects file
    [0.013s][info][class,load] jdk.internal.module.ModuleLoaderMap$Modules source: shared objects file
    [0.014s][info][class,load] jdk.internal.module.ModuleBootstrap$Counters source: shared objects file
    [0.014s][info][class,load] jdk.internal.loader.AbstractClassLoaderValue source: shared objects file
    [0.014s][info][class,load] jdk.internal.loader.ClassLoaderValue source: shared objects file
    [0.014s][info][class,load] jdk.internal.access.JavaNetUriAccess source: shared objects file
    [0.014s][info][class,load] java.net.URI$1 source: shared objects file
    [0.014s][info][class,load] java.security.cert.Certificate source: shared objects file
    [0.014s][info][class,load] java.lang.ClassLoader$ParallelLoaders source: shared objects file
    [0.014s][info][class,load] java.util.WeakHashMap source: shared objects file
    [0.014s][info][class,load] java.util.WeakHashMap$Entry source: shared objects file
    [0.014s][info][class,load] java.util.Collections$SetFromMap source: shared objects file
    [0.014s][info][class,load] java.util.WeakHashMap$KeySet source: shared objects file
    [0.014s][info][class,load] jdk.internal.loader.ClassLoaderHelper source: shared objects file
    [0.014s][info][class,load] jdk.internal.util.OSVersion source: shared objects file
    [0.014s][info][class,load] java.util.concurrent.ConcurrentHashMap$CollectionView source: shared objects file
    [0.014s][info][class,load] java.util.concurrent.ConcurrentHashMap$KeySetView source: shared objects file
    [0.014s][info][class,load] jdk.internal.loader.BootLoader source: shared objects file
    [0.014s][info][class,load] java.lang.Module$EnableNativeAccess source: shared objects file
    [0.014s][info][class,load] jdk.internal.loader.URLClassPath source: shared objects file
    [0.014s][info][class,load] java.net.URLStreamHandlerFactory source: shared objects file
    [0.014s][info][class,load] java.net.URL$DefaultFactory source: shared objects file
    [0.014s][info][class,load] jdk.internal.access.JavaNetURLAccess source: shared objects file
    [0.014s][info][class,load] java.net.URL$1 source: shared objects file
    [0.014s][info][class,load] java.io.File$PathStatus source: shared objects file
    [0.014s][info][class,load] sun.net.www.ParseUtil source: shared objects file
    [0.014s][info][class,load] java.net.URLStreamHandler source: shared objects file
    [0.014s][info][class,load] sun.net.www.protocol.file.Handler source: shared objects file
    [0.014s][info][class,load] sun.net.util.IPAddressUtil source: shared objects file
    [0.014s][info][class,load] sun.net.util.IPAddressUtil$MASKS source: shared objects file
    [0.015s][info][class,load] java.util.Queue source: shared objects file
    [0.015s][info][class,load] java.util.Deque source: shared objects file
    [0.015s][info][class,load] java.util.ArrayDeque source: shared objects file
    [0.015s][info][class,load] sun.net.www.protocol.jar.Handler source: shared objects file
    [0.015s][info][class,load] jdk.internal.vm.ContinuationSupport source: shared objects file
    [0.015s][info][class,load] jdk.internal.vm.Continuation$Pinned source: shared objects file
    [0.015s][info][class,load] sun.launcher.LauncherHelper source: shared objects file
    [0.015s][info][class,load] java.lang.StringCoding source: shared objects file
    [0.015s][info][class,load] sun.net.util.URLUtil source: shared objects file
    [0.015s][info][class,load] jdk.internal.loader.URLClassPath$Loader source: shared objects file
    [0.015s][info][class,load] jdk.internal.loader.URLClassPath$FileLoader source: jrt:/java.base
